object_id,time_period_id
466,1
467,1
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,1
482,1
483,1
484,1
485,1
486,1
500,1
3926,2
3963,1
3970,1
3971,1
5223,2
5896,1
7499,2
10028,2
10035,3
10049,2
10061,2
10062,2
10065,2
10066,3
10067,3
10068,2
10070,2
10072,2
10075,2
10076,2
10077,2
10080,2
10081,2
10082,2
10083,2
10084,2
10085,1
10087,2
10092,2
10093,2
10116,2
10126,3
10127,2
10128,2
10131,3
10136,1
10138,1
10142,3
10147,3
10148,3
10149,2
10150,2
10151,2
10152,2
10154,2
10155,2
10156,2
10158,2
10159,2
10174,1
10175,1
10176,1
10177,1
10178,2
10180,2
10181,2
10182,2
10183,2
10184,2
10185,2
10186,2
10190,2
10191,2
10194,2
10195,2
10196,2
10198,2
10207,2
10209,2
10210,2
10215,2
10235,2
10239,2
10240,2
10241,2
10246,1
10247,2
10251,3
10252,3
10254,3
10255,3
10256,2
10258,3
10259,2
10337,3
10338,3
10351,3
10352,2
10353,2
10371,2
10375,2
10376,3
10381,2
10388,2
10391,2
10393,2
10400,2
10401,2
10402,3
10406,2
10421,2
10422,2
10423,2
10425,2
10430,2
10431,2
10434,3
10435,2
10436,2
10437,2
10438,2
10439,2
10440,2
10441,2
10442,2
10443,2
10444,2
10445,2
10446,2
10447,2
10448,2
10449,2
10450,2
10451,2
10452,2
10453,2
10454,2
10455,2
10456,2
10457,2
10458,2
10459,2
10460,2
10461,2
10462,2
10463,2
10464,2
10465,2
10466,2
10467,3
10468,2
10469,2
10470,2
10471,2
10472,2
10473,2
10474,2
10475,2
10476,3
10478,2
10480,2
10481,2
10482,2
10491,2
10492,2
10493,2
10496,2
10497,2
10499,2
10500,2
10501,2
10503,2
10504,2
10505,2
10507,2
10508,2
10509,2
10510,2
10516,2
10517,2
10519,3
10521,2
10522,1
10524,1
10526,1
10527,1
10530,1
10531,1
10533,1
10534,1
10535,1
10537,1
10554,1
10555,3
10557,2
10559,2
10560,2
10566,2
10570,3
10578,2
10584,2
10586,2
10587,2
10589,2
10590,2
10607,3
10610,2
10612,2
10614,2
10628,3
10629,3
10630,2
10644,3
10647,3
10649,3
10657,3
10674,3
10705,3
10708,3
10730,3
10738,2
10742,3
10743,3
10745,3
10746,2
10747,3
10749,2
10762,3
10767,3
10768,2
10769,2
10771,2
10777,2
10783,2
10784,2
10785,2
10786,2
10788,2
10790,2
10791,2
10793,2
10794,2
10795,2
10796,2
10798,2
10799,2
10800,1
10801,1
10805,2
10806,2
10808,4
10809,1
10810,2
10811,2
10812,2
10813,2
10817,2
10819,2
10820,2
10824,2
10825,3
10827,2
10828,2
10830,1
10832,1
10833,1
10834,1
10835,1
10836,2
10837,2
10843,2
10845,2
10846,3
10848,2
10849,2
10850,2
10851,2
10852,2
10853,2
10858,2
10859,2
10860,2
10861,2
10862,2
10863,2
10864,2
10865,2
10866,2
10867,2
10874,1
10878,2
10879,2
10880,2
10890,2
10894,3
10895,2
10897,2
10905,2
10915,3
10916,3
10919,2
10922,2
10923,2
10924,2
10925,2
10930,3
10933,2
10934,2
10935,3
10936,3
10937,3
10939,2
10944,2
10945,2
10946,2
10947,2
10950,3
10952,3
10954,3
10955,3
10959,3
10960,3
10966,2
10967,2
10968,2
10974,3
10975,2
10976,2
10978,2
10980,3
10984,2
10988,2
10989,2
10990,2
10991,2
10993,2
10994,2
10995,2
10996,2
10997,2
11001,2
11006,2
11007,2
11008,2
11011,2
11012,2
11020,2
11028,3
11029,3
11031,3
11032,3
11034,3
11035,3
11036,2
11038,2
11040,1
11042,2
11046,3
11050,2
11051,2
11052,2
11053,2
11054,2
11055,2
11057,2
11058,2
11060,2
11061,2
11062,2
11063,2
11075,3
11077,3
11079,1
11080,2
11081,2
11082,2
11083,2
11088,2
11101,2
11103,2
11104,2
11105,2
11107,2
11111,2
11112,2
11113,2
11116,2
11117,2
11122,2
11123,2
11126,2
11127,2
11130,2
11133,2
11134,2
11135,2
11136,3
11137,3
11140,2
11141,2
11142,2
11145,2
11149,3
11159,2
11160,2
11168,2
11170,2
11173,2
11174,2
11175,2
11176,2
11177,2
11179,2
11180,2
11181,2
11182,2
11187,2
11188,2
11189,2
11191,2
11192,2
11193,2
11194,2
11195,2
11199,2
11201,2
11205,2
11207,2
11208,2
11209,2
11212,2
11215,2
11223,2
11224,2
11226,2
11227,2
11228,2
11229,2
11230,2
11231,2
11232,2
11233,2
11234,2
11235,2
11239,2
11240,2
11241,2
11243,2
11247,2
11249,2
11250,2
11253,2
11255,2
11256,2
11258,2
11259,2
11260,2
11261,2
11262,2
11263,2
11264,2
11265,2
11267,2
11269,2
11273,1
11274,1
11275,1
11276,1
11277,3
11278,2
11279,2
11281,3
11282,3
11284,2
11287,2
11289,2
11290,2
11301,1
11302,1
11303,3
11304,3
11307,2
11308,2
11309,2
11310,2
11311,2
11312,2
11313,2
11314,2
11315,2
11316,2
11317,2
11318,2
11319,2
11320,2
11321,2
11322,2
11323,2
11324,2
11325,2
11326,2
11328,2
11329,2
11332,2
11347,2
11348,2
11365,2
11366,2
11370,2
11379,2
11383,2
11392,2
11393,2
11395,2
11396,2
11397,2
11403,2
11405,3
11406,2
11407,2
11408,2
11409,2
11411,2
11417,2
11418,2
11431,3
11433,2
11436,3
11437,3
11448,2
11451,2
11470,3
11471,3
11480,3
11481,2
11483,3
11495,2
11512,1
11515,2
11517,2
11518,2
11521,3
11524,2
11525,2
11543,2
11553,2
11555,3
11556,3
11557,3
11558,3
11583,2
11584,2
11585,2
11586,2
11587,2
11589,3
11591,3
11597,2
11598,2
11600,2
11602,2
11604,2
11605,2
11609,2
11610,1
11611,1
11614,2
11619,2
11620,2
11621,2
11623,2
11624,2
11626,2
11627,2
11628,2
11630,2
11631,3
11635,3
11636,3
11641,3
11651,2
11654,2
11655,2
11656,2
11657,3
11658,3
11659,3
11674,2
11675,2
11682,3
11683,2
11685,3
11692,3
11697,3
11703,1
11707,1
11710,1
11712,1
11713,1
11716,1
11718,1
11719,1
11723,1
11728,2
11734,2
11737,2
11739,2
11740,2
11741,2
11742,2
11743,2
11744,2
11745,2
11758,2
11759,2
11761,2
11762,2
11763,2
11764,2
11765,2
11766,2
11767,3
11771,2
11774,1
11775,2
11776,2
11777,2
11778,1
11779,1
11780,2
11797,1
11798,1
11799,1
11800,3
11801,3
11803,3
11804,3
11809,3
11813,3
11834,2
11835,2
11837,2
11851,3
11853,2
11854,2
11857,3
11858,2
11864,2
11867,3
11894,2
11903,2
11904,3
11911,2
11913,2
11934,2
11936,2
11938,2
11939,2
11957,2
11974,2
11975,2
11976,2
11977,2
11978,2
11979,2
11980,2
11981,2
11982,3
11983,2
11984,2
12024,2
12026,2
12028,3
12037,2
12038,2
12052,3
12061,2
12065,2
12071,3
12072,2
12073,2
12074,2
12100,2
12108,2
12110,3
12121,2
12122,2
12127,2
12128,2
12131,2
12136,2
12137,2
12140,2
12141,2
12149,2
12153,3
12159,3
12162,2
12178,3
12266,2
12284,3
12302,2
12303,2
12310,2
12443,3
12446,2
12447,2
12456,3
12470,2
12471,3
12477,2
12534,2
12541,3
12542,3
12543,2
12545,1
12551,2
12552,2
12554,2
12569,2
12572,3
12578,2
12600,1
12601,1
12602,1
12603,1
12605,2
12630,2
12631,2
12639,3
12641,1
12643,2
12644,2
12646,2
12647,2
12648,3
12658,1
12661,2
12662,2
12663,1
12664,1
12665,1
12666,2
12667,1
12668,2
12669,1
12670,1
12671,1
12672,1
12673,1
12674,1
12675,1
12676,2
12677,1
12678,1
12680,1
12681,2
12683,1
12687,2
12690,2
12692,2
12693,2
12694,2
12696,2
12698,2
12699,2
12701,2
12702,2
12704,2
12705,2
12707,2
12708,2
12709,2
12764,3
12766,3
12767,2
12768,2
12769,2
12770,2
12772,2
12773,2
12775,2
12776,3
12785,2
12786,3
12787,2
12791,1
12792,1
12793,1
12794,1
12795,2
12796,2
12797,2
12799,2
12800,2
12801,2
12802,2
12806,2
12807,2
12810,2
12811,2
12819,2
12822,1
12823,1
12824,1
12825,2
12827,2
12828,1
12829,1
12830,1
12831,2
12832,2
12833,2
12834,2
12835,3
12836,3
12837,3
12840,3
12842,2
12843,2
12845,2
12846,2
12849,2
12855,4
12856,3
12857,2
12859,1
12860,1
12865,1
12866,2
12870,2
12872,2
12873,1
12877,2
12878,1
12885,1
12889,2
12895,1
12899,1
12902,1
12903,2
12904,2
12911,2
12913,1
12917,2
12920,1
12923,2
12925,3
12928,1
12929,1
12932,2
12933,2
12939,2
12940,2
12947,2
12948,2
12950,2
12956,3
12959,2
12962,1
12965,1
12966,2
12968,2
12970,3
12975,1
12977,1
12978,2
12980,4
12983,2
12994,1
12997,1
13000,2
13001,1
13003,2
13006,2
13008,2
13011,2
13014,2
13017,2
13018,1
13019,2
13020,1
13025,2
13027,1
13033,3
13043,2
13045,1
13047,2
13049,2
13051,1
13052,2
13053,1
13057,1
13058,2
13060,2
13061,2
13062,2
13065,2
13067,2
13070,2
13078,3
13085,3
13086,3
13087,3
13089,2
13091,2
13093,2
13094,2
13095,2
13096,2
13097,2
13098,2
13099,2
13100,2
13101,2
13102,2
13103,2
13104,2
13105,2
13106,2
13107,2
13108,2
13121,2
13124,2
13131,2
13132,2
13165,3
13166,3
13167,3
13168,3
13171,2
13173,2
13174,2
13175,2
13178,2
13180,2
13181,2
13182,2
13183,2
13184,2
13187,2
13193,3
13196,1
13198,1
13199,1
13200,2
13202,2
13204,1
13209,2
13210,2
13211,2
13223,2
13225,2
13237,2
13269,2
13307,2
13312,2
13313,2
13315,2
13316,3
13317,3
13331,1
13334,1
13335,1
13336,1
13337,1
13338,1
13343,2
13344,2
13345,2
13346,2
13349,2
13350,2
13351,2
13352,2
13355,2
13356,2
13357,2
13358,2
13359,2
13360,2
13368,2
13392,2
13401,1
13452,2
13453,2
13454,2
13499,2
13758,2
14202,2
14203,3
14204,3
14265,2
14334,2
14419,1
14444,3
14472,2
14473,3
14474,2
14475,2
14476,2
14477,2
14478,2
14479,2
14480,2
14481,2
14482,2
14483,2
14487,2
14512,2
14513,2
14514,3
14516,4
14824,3
14826,2
14836,2
14871,3
14930,2
14931,3
14981,2
15582,2
15583,3
15587,3
16006,3
16255,2
16345,2
16580,2
16584,1
16590,2
16591,2
16592,2
16687,2
16710,2
16717,2
16743,1
16744,1
16752,1
16781,1
16868,2
16875,2
16881,2
16906,2
16947,3
16958,1
16959,1
17016,2
17447,1
17465,2
17506,2
17507,2
17508,2
17517,2
17558,2
17559,2
17574,2
17803,2
17897,2
18113,1
18354,2
18447,2
18819,2
18820,2
18838,3
19013,3
19022,1
19056,1
19065,2
19206,2
19219,3
19220,3
19224,3
19225,3
19226,3
19231,3
19241,3
19246,3
19247,3
19248,3
19250,3
19253,3
19258,3
19260,3
19261,3
19262,3
19263,3
19264,3
19272,3
19273,3
19274,3
19277,3
19278,3
19285,3
19286,2
19288,3
19289,3
19290,3
19291,3
19292,3
19293,3
19294,3
19295,3
19299,3
19300,2
19301,3
19303,3
19307,3
19316,3
19317,3
19318,3
19321,3
19322,3
19328,2
19329,3
19330,2
19332,3
19334,2
19335,3
19336,3
19337,3
19338,3
19339,3
19340,3
19341,3
19342,3
19343,3
19344,3
19345,3
19346,3
19347,3
19349,3
19350,3
19351,3
19523,2
19524,2
19732,2
19815,1
19816,1
19826,1
20129,2
20366,2
20421,2
20517,1
20559,2
20639,2
20768,2
20771,3
20888,2
20889,2
20890,2
20891,5
20892,2
20893,1
21126,2
21651,1
21652,2
21693,2
21695,3
33284,6
34018,6
34019,6
34020,6
35155,6
35649,2
35655,4
36034,6
36043,4
36116,4
36370,3
37793,7
37800,8
37801,9
37803,8
37811,4
37819,1
37832,4
37835,7
37855,4
37856,3
37866,1
37867,1
37868,1
37869,1
37873,1
37876,1
37877,1
37878,2
37880,4
37898,1
37913,1
37914,1
37915,1
37916,1
37922,2
37924,2
37926,2
37927,4
37928,1
37945,4
37959,2
37960,1
37968,1
37970,7
37971,9
37974,3
37987,1
37989,1
37990,1
37991,1
37992,1
37993,1
38009,1
38012,1
38013,9
38016,4
38020,1
38022,2
38023,1
38024,1
38026,1
38031,1
38032,2
38035,2
38038,1
38039,1
38040,1
38041,1
38042,1
38043,1
38044,2
38045,1
38046,1
38047,1
38052,8
38057,1
38058,4
38066,2
38068,1
38069,1
38070,1
38347,4
39641,1
39651,1
39894,4
40332,6
40333,10
40335,10
40336,1
40337,1
40338,1
40339,1
40340,1
40341,1
40349,4
40352,1
40353,1
40419,4
40429,1
40432,1
40452,9
42889,4
44628,3
45070,8
45608,9
45609,9
45610,9
45696,6
45697,6
45702,4
45703,6
45704,6
45705,6
45706,6
45708,6
45709,6
45710,6
45711,6
45712,6
45713,6
45714,6
45715,6
45716,6
45717,6
45718,6
45719,6
45743,6
45800,4
45809,1
48882,2
48889,1
48890,1
48907,1
48916,1
48918,1
48919,1
48920,1
48940,6
48985,1
49104,4
49105,4
49466,2
49617,3
49798,2
51529,9
51531,9
51563,9
51587,9
51595,4
51649,6
51756,4
51757,9
51760,4
51761,4
51811,2
51812,11
51814,11
51833,8
51847,9
53522,12
53523,5
53543,4
53544,2
53545,2
53550,9
53583,3
53592,6
53595,2
53750,3
54184,2
54567,1
54789,2
54791,4
54792,4
54794,4
54795,4
54796,4
54911,8
54912,6
54913,8
54914,8
54915,3
54953,1
54967,1
55034,2
57185,2
57187,2
57188,2
57190,2
57191,2
57192,2
57193,2
57194,2
57234,1
57236,1
57237,1
57238,2
57240,1
57242,2
57243,2
57245,2
57286,4
57290,4
57291,4
57292,4
57293,4
57294,2
57295,2
57296,2
57297,2
57298,2
57299,1
57300,1
57301,1
57302,1
57303,1
57304,1
57305,1
57306,1
57307,1
57308,1
57309,1
57314,1
57321,2
57322,2
57323,2
57330,2
57331,2
57333,2
57339,4
57340,2
57556,9
61429,2
64533,1
64534,4
64535,1
64839,1
64840,2
64842,2
64843,1
64891,4
65002,1
65003,1
65590,4
65594,1
65595,2
72571,4
72573,1
72589,1
72719,2
72720,4
72752,1
73111,2
73169,1
73259,1
73260,2
73261,1
73296,2
74648,1
74650,1
74651,1
74652,1
74653,1
74657,1
74658,1
74659,1
74660,1
74668,1
74669,2
74671,1
74673,1
74674,1
74677,1
74679,1
74680,2
74681,1
74683,1
74685,1
74686,1
74691,1
74692,1
74696,4
74698,2
74701,1
74705,1
74710,1
74715,2
74719,1
74721,1
74725,4
74726,2
74728,4
74730,2
74733,1
74736,2
74743,2
74744,2
74749,2
74750,2
74752,4
74753,1
74837,3
74838,3
74840,3
74842,3
74843,3
74883,7
75235,1
75411,1
76031,4
76032,1
76033,1
76036,4
76037,2
76393,13
78435,3
141404,3
185933,9
185934,9
189551,4
189727,4
196918,1
207312,1
232204,4
232207,1
232208,1
232209,4
232211,4
232212,4
236111,4
282527,3
282530,3
282531,3
282532,3
282533,3
282534,3
282535,3
282537,3
282538,3
282539,3
282541,3
282552,3
282559,3
282560,3
282561,3
282569,3
282570,3
282571,3
282573,3
282575,3
282618,3
282883,3
283743,3
289702,3
289703,3
311939,1
313632,1
313650,3
313787,2
314561,2
314562,2
316756,2
316757,2
316758,2
316759,2
316760,2
316761,2
316762,2
316763,2
320928,3
387147,2
395123,1
395733,3
435573,1
435576,8
435577,8
435578,8
435579,8
435580,8
435581,8
435583,8
435585,6
435586,3
435590,4
435594,6
435595,6
435596,4
435597,4
435598,4
435599,2
435600,6
435601,8
435603,2
435604,2
435614,8
435615,8
435616,8
435617,8
435621,2
435622,1
435623,1
435626,2
435627,2
435630,1
435631,1
435632,1
435633,4
435635,6
435640,8
435641,8
435642,8
435643,6
435644,6
435645,8
435646,1
435647,1
435648,2
435649,2
435650,2
435651,6
435653,2
435654,2
435655,4
435656,8
435657,8
435658,11
435659,6
435663,4
435664,8
435665,8
435666,8
435670,4
435671,1
435672,4
435673,1
435678,6
435680,6
435682,6
435683,2
435684,2
435687,1
435688,1
435689,4
435690,4
435691,2
435692,2
435693,3
435694,2
435701,2
435702,2
435703,2
435704,2
435705,6
435706,6
435707,2
435708,2
435709,2
435711,2
435713,4
435714,4
435715,4
435716,4
435717,4
435718,4
435722,6
435723,4
435724,8
435725,6
435727,1
435728,8
435729,8
435730,8
435731,8
435733,8
435734,8
435737,1
435738,1
435740,1
435741,1
435742,1
435743,1
435744,1
435745,1
435746,1
435747,1
435749,2
435750,2
435751,2
435752,2
435753,2
435754,2
435755,4
435756,4
435757,4
435759,8
435760,6
435762,8
435763,6
435764,8
435765,8
435766,8
435768,6
435769,4
435770,4
435771,4
435772,4
435773,2
435774,2
435775,2
435776,6
435778,6
435779,6
435780,1
435793,2
435802,6
435803,6
435804,6
435805,4
435806,4
435807,4
435808,6
435809,6
435810,4
435813,4
435814,4
435817,4
435818,6
435819,6
435820,6
435822,8
435823,6
435824,6
435826,2
435829,2
435830,2
435831,2
435832,2
435833,4
435835,6
435837,8
435838,8
435839,1
435842,4
435843,4
435844,6
435847,6
435848,8
435849,2
435851,8
435852,6
435853,6
435855,2
435856,2
435857,2
435858,1
435859,6
435860,6
435861,4
435862,2
435863,9
435864,1
435866,2
435867,2
435868,2
435869,2
435870,2
435871,2
435872,2
435873,2
435874,2
435875,2
435876,2
435877,2
435878,3
435879,2
435880,2
435881,2
435882,2
435883,2
435884,2
435885,2
435886,4
435887,1
435888,1
435892,2
435894,4
435895,2
435896,8
435897,8
435898,8
435899,8
435900,6
435901,6
435902,6
435904,4
435905,4
435906,4
435907,4
435908,4
435909,4
435912,6
435914,6
435916,6
435917,6
435918,4
435921,2
435922,2
435923,2
435940,6
435944,6
435945,6
435946,6
435947,6
435948,6
435949,6
435950,6
435951,6
435952,6
435953,6
435954,6
435955,6
435956,6
435957,6
435958,6
435959,6
435960,6
435961,2
435962,2
435963,2
435964,2
435965,2
435966,2
435967,2
435968,2
435969,2
435971,2
435972,2
435975,2
435976,2
435977,2
435978,2
435979,2
435980,2
435981,2
435983,2
435984,2
435985,2
435986,2
435987,2
435988,2
435989,2
435990,2
435991,2
435992,6
435993,1
435997,2
435998,1
436000,2
436001,2
436002,2
436003,2
436004,2
436005,2
436006,2
436007,2
436008,2
436009,2
436010,2
436011,2
436012,2
436013,2
436014,2
436015,2
436016,2
436017,2
436018,2
436019,2
436020,2
436021,2
436022,2
436023,2
436024,2
436025,2
436026,2
436027,2
436028,2
436030,2
436033,6
436034,6
436035,6
436036,6
436037,6
436038,6
436039,6
436040,6
436041,6
436042,6
436043,6
436044,6
436045,6
436046,6
436047,6
436048,4
436049,4
436052,8
436053,8
436055,8
436056,8
436057,2
436060,4
436061,4
436062,4
436063,4
436064,4
436065,4
436068,9
436075,2
436076,2
436077,4
436078,4
436079,1
436080,2
436081,2
436083,2
436084,2
436085,2
436086,2
436088,2
436089,2
436090,2
436091,2
436092,2
436093,2
436095,2
436098,8
436099,6
436100,8
